id_detalle,transaccion,cuota,valor,estado,fecha_pago,fecha_pagado,fotografia,enviar_pdf
2e51c4d1,a564dfb5,1,254,PAGADO,2023-08-15,2023-08-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
94f2de6f,a564dfb5,2,254,PAGADO,2023-09-15,2023-09-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
07d24b22,a564dfb5,3,254,PAGADO,2023-10-15,2023-10-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
0ed65127,a564dfb5,4,254,PAGADO,2023-11-15,2023-11-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5a83ec98,a564dfb5,5,254,PAGADO,2023-12-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
747749bf,a564dfb5,6,254,PAGADO,2024-01-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
31d035af,a564dfb5,7,254,PAGADO,2024-02-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
31893f43,a564dfb5,8,254,PAGADO,2024-03-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
63eac059,a564dfb5,9,254,PAGADO,2024-04-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4bfb9424,a564dfb5,10,254,PAGADO,2024-05-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1468f001,a564dfb5,11,254,PAGADO,2024-06-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
e58ccfdf,a564dfb5,12,254,PAGADO,2024-07-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
4455bba4,a564dfb5,13,254,PAGADO,2024-08-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f34760ec,a564dfb5,14,254,PAGADO,2024-09-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c4b17487,a564dfb5,15,254,PAGADO,2024-10-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
b29e79fd,a564dfb5,16,254,PAGADO,2024-11-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
ea0a2407,a564dfb5,17,254,PAGADO,2024-12-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
fc942a9c,a564dfb5,18,254,PAGADO,2025-01-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
9599575f,a564dfb5,19,254,PAGADO,2025-02-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
c9612582,a564dfb5,20,254,PAGADO,2025-03-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
cb3d3078,a564dfb5,21,254,PAGADO,2025-04-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
efbba61a,a564dfb5,22,254,PAGADO,2025-05-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
5f4ca2ec,a564dfb5,23,254,PAGADO,2025-06-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
f05efba6,a564dfb5,24,247,PAGADO,2025-07-15,2023-12-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
1a99aafd,a7ddfc59,1,379,PAGADO,2022-06-15,2022-06-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
8a067f7f,a7ddfc59,2,379,PAGADO,2022-07-15,2022-07-15,https://i.ibb.co/nqyL4F81/pendiente-de-subir.png,
